Accounts,On/Off,Wine,Date,Address,Lat,Lon
"Brew Shop, The",off,Rosé,06/21,"2004 Wilson Blvd, Arlington, VA 22201",38.8921709,-77.0822744
Common House,On,Chardonnay,06/21,"206 West Market Street, Charlottesville, VA 22902",38.0317194,-78.4822538
Crystal City Wine Shop,off,Foothills,06/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Young Wine,06/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Rosé,06/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Department of Beer & Wine,off,Rosé,06/21,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Foods of All Nations,off,Foothills,06/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Landini Brothers,on,Rosé,06/21,"Michael Rovezzi, Alexandria, VA 22314",38.8180192,-77.0407781
Market Street Wine Shop,off,Petit Manseng,06/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Mona Lisa,off,Eluvium,06/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Tail Up Goat,on,Petit Manseng,06/21,"1827 Adams Mill Rd. NW, Washington, DC 20009",38.923447,-77.043176
Unwined - Belle View,off,Rosé,06/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Whole Foods - Florida Ave,on/off,Rosé,06/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Farmers Fishers Bakers,On,Rosé,06/21,"3000 K Street NW, Washington, DC 20007",38.9025537,-77.0601033
Founding Farmers - DC,on,Rosé,06/21,"1924 Pennsylvania Ave. NW, Washington, DC 20006",38.8999959,-77.0443929
Founding Farmers - Reston,on,Rosé,06/21,"1904 Reston Metro Plaza, Suite 100, Reston, VA 20190",38.9488917,-77.3383807
Founding Farmers - Tyson's Corner,on,Rosé,06/21,"1800 Tyson's Blvd., McLean, VA 22102",38.9223637,-77.2224625
Montgomery Co. Dept. of Liquor Control,on,Rosé,06/21,"Division of Financial, Gaithersburg, MD 20878",39.139876,-77.1926495
St. Vincent,on,Petit Manseng,06/21,"3212 Georgia Avenue NW, Washington, DC 20010",38.9304348,-77.0237689
Whole Foods - Ashburn,on/off,Rosé,06/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Whole Foods - H Street,on/off,Foothills,06/21,"600-A H Street, NE, Washington, DC 20002",38.9005142,-76.9976267
Whole Foods - H Street,on/off,Five Forks,06/21,"600-A H Street, NE, Washington, DC 20002",38.9005142,-76.9976267
Whole Foods - Tysons,on/off,Five Forks,06/21,"7511 Leesburg Pike, Falls Church, VA 22043",38.9026076,-77.2050359
Whole Foods - Vienna,on/off,Rosé,06/21,"143 Maple Ave East, Vienna, VA 22180",38.9022469,-77.2626957
Whole Foods - Vienna,on/off,Five Forks,06/21,"143 Maple Ave East, Vienna, VA 22180",38.9022469,-77.2626957
Crystal Palate,off,Chardonnay,06/21,"4500 Pretty Lake Avenue, Norfolk, VA 23518",36.925493,-76.1880817
Ellwood Thompson,off,Rosé,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Petit Manseng,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Fat Canary,on,Rosé,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Friendly City Food Co-op,off,Rosé,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Pétillant Naturel White,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Press 626,on,Foothills,06/21,"626 West Olney Rd., Norfolk, VA 23507",36.8605378,-76.2996588
Prosperity Kitchen & Pantry,on,Foothills,06/21,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Taste - City Center,on/off,Rosé,06/21,"Karla Zappatelli, Newport News, VA 23606",37.0672839,-76.514138
Westside Produce & Provisions,off,Foothills,06/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Westside Produce & Provisions,off,Shenandoah Valley Cabernet Franc,06/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Whole Foods - Charlottesville,on/off,Rosé,06/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Charlottesville,on/off,Five Forks,06/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Newport News,on/off,Foothills,06/21,"12080 Jefferson Ave, Newport News, VA 23606",37.1017661,-76.4913026
Whole Foods - Newport News,on/off,Five Forks,06/21,"12080 Jefferson Ave, Newport News, VA 23606",37.1017661,-76.4913026
Whole Foods - Short Pump,on/off,Foothills,06/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - Short Pump,on/off,Five Forks,06/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Wine Seller - Williamsburg,off,Foothills,06/21,"4680 Monticello Ave Suite 15, Williamsburg, VA 23188",37.2719211,-76.7595155
Wool Factory,on/off,Young Wine,06/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Rosé,06/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Arrowine,Off,Rosé,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,Off,Young Wine,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Capital Ale House - Fairfax,On,Five Forks,06/21,"4069 Chain Bridge Rd, Fairfax, VA 22030",38.8442986,-77.3073582
Dominion Wine and Beer,on/off,Foothills,06/21,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
Mom's Apple Pie - Hill High,off,Pétillant Naturel White,06/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Norm's Beer & Wine,off,Rosé,06/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Norm's Beer & Wine,off,Foothills,06/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
NRG - Planet Wine,off,Rosé,06/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Organic Butcher of McLean,off,Rosé,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Young Wine,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Rosé,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Thornton River Grille,on,Petit Manseng,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Eluvium,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Rosé,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Caboose,on/off,Foothills,06/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Corks & Kegs,off,Rosé,06/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Grisette,on,Petit Manseng,06/21,"3119 East Marshall Street, Richmond, VA 23223",37.5286571,-77.4118647
Landini Brothers,on,Rosé,06/21,"Michael Rovezzi, Alexandria, VA 22314",38.8180192,-77.0407781
Mona Lisa,off,Shenandoah Valley Cabernet Franc,06/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Rio Hill Wine & Beer,off,Rosé,06/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Taste - Westhampton,on/off,Rosé,06/21,"5706 Grove Ave Ste 100, Richmond, VA 23226",37.5732828,-77.5173888
Vino Market,off,Rosé,06/21,"3730 Winterfield Rd., Midlothian, VA 23113",37.5535346,-77.6685934
Vino Market,off,Foothills,06/21,"3730 Winterfield Rd., Midlothian, VA 23113",37.5535346,-77.6685934
Vino Market,off,Five Forks,06/21,"3730 Winterfield Rd., Midlothian, VA 23113",37.5535346,-77.6685934
Whole Foods - Pentagon City,on/off,Young Wine,06/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8628102,-77.0545096
Whole Foods - South Capitol Hill,on/off,Foothills,06/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Whole Foods - Tenley,on/off,Foothills,06/21,"4530 40th Street NW, Washington, DC 20016",38.9490789,-77.0792007
"Brew Shop, The",off,Rosé,06/21,"2004 Wilson Blvd, Arlington, VA 22201",38.8921709,-77.0822744
Fancy Radish,On,Rosé,06/21,"600 H St, NE, Washington, DC 20002",38.9005142,-76.9976267
Farmers & Distillers,On,Rosé,06/21,"600 Massachusetts Ave. NW, Washington, DC 20001",38.9013601,-77.0208105
Metro Liquors,off,Rosé,06/21,"1726 Columbia Rd NW, Washington, DC 20009",38.924374,-77.039731
Red Fox Inn,on,Shenandoah Valley Cabernet Franc,06/21,"2 E. Washington St., Middleburg, VA 20117",38.9692453,-77.7354394
St. Anselm,on,Shenandoah Valley Cabernet Franc,06/21,"1250 5th St. NE, Washington, DC 20002",38.9077745,-76.9990918
Unwined - King St,off,Rosé,06/21,"Bradlee Shopping Center, Alexandria, VA 22302",38.8286279,-77.091689
Unwined - King St,off,Early Mountain Vineyards Virginia Cabernet Franc Quaker Run 2019,06/21,"Bradlee Shopping Center, Alexandria, VA 22302",38.8286279,-77.091689
Vitis Fine Wine,Off,Young Wine,06/21,"1309 5th St NE #20, Washington, DC 20002",38.9085998,-76.997517
Vitis Fine Wine,Off,Young Wine,06/21,"1309 5th St NE #20, Washington, DC 20002",38.9085998,-76.997517
Whole Foods - Arlington,on/off,Rosé,06/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Fair Lakes,on/off,Rosé,06/21,"4501 Market Commons Drive, Fairfax, VA 22033",38.8578497,-77.377751
Brasserie Saison,On,Rosé,06/21,"111 E. Main Street, Charlottesville, VA 22902",38.030905,-78.48108
Crystal Spring Grocery,Off,Chardonnay,06/21,"2205 Crystal Spring Ave SW, Roanoke, VA 24014",37.2485824,-79.9468989
Ellwood Thompson,off,Pétillant Naturel Red,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Rosé,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Fat Canary,on,Rosé,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Foothills,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Shenandoah Valley Cabernet Franc,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Friendly City Food Co-op,off,Rosé,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Ivy Inn,on,Eluvium,06/21,"2244 Old Ivy Rd., Charlottesville, VA 22903",38.045948,-78.516234
Ivy Inn,on,Five Forks,06/21,"2244 Old Ivy Rd., Charlottesville, VA 22903",38.045948,-78.516234
Jackson River Growers,on,Young Wine,06/21,"180 Oakley Farm Ln, Warm Springs, VA 24484",38.0425248,-79.7906726
Primland Resort,on,Eluvium,06/21,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6617827,-80.4318697
Roosevelt,on,Foothills,06/21,"623 N. 25th St., Richmond, VA 23223",37.534897,-77.4154189
Second Bottle Wine,off,Foothills,06/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Vintage Cellar,off,Petit Manseng,06/21,"1338 South Main St., Blacksburg, VA 24060",37.215963,-80.402101
Whole Foods - Charlottesville,on/off,Rosé,06/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Short Pump,on/off,Rosé,06/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - Short Pump,on/off,Five Forks,06/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - Short Pump,on/off,Foothills,06/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - West Broad,on/off,Rosé,06/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
Wine Gourmet,off,Rosé,06/21,"3524 Electric Road, Roanoke, VA 24014",37.2271841,-79.9984762
Wine Gourmet,off,Petit Manseng,06/21,"3524 Electric Road, Roanoke, VA 24014",37.2271841,-79.9984762
A Pimento Catering,on,RISE,9/20,"1304-C E Market St., Charlottesville, VA 22902",38.0257736,-78.4671133
Crystal City Wine Shop,off,RISE,9/20,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Field & Main,on/off,RISE,9/20,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
"Wool Factory, The",on/off,RISE,9/20,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Clifton Inn,on,RISE,10/20,"1296 Clifton Inn Dr, Charlottesville, VA 22911",38.007264,-78.397257
Mom's Apple Pie Hill High,off,RISE,10/20,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Salisbury Country Club,on,RISE,10/20,"13620 W. Salisbury Rd, Midlothian, VA 23113",37.5278854,-77.6533788
Balducci's - Alexandria,off,RISE,11/20,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Market Street Wine Shop,off,RISE,11/20,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,RISE,11/20,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Mom's Apple Pie Hill High,off,RISE,12/20,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Barrel Chest,off,RISE,12/20,"4035 Electric Rd. #B, Roanoke, VA 24018",37.2235279,-79.982868
Crystal City Wine Shop,off,RISE,12/20,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Libbie Market,off,RISE,12/20,"400 Libbie Ave., Richmond, VA 23226",37.5746309,-77.5183971
Fat Canary,on,RISE,01/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,RISE,01/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Ellwood Thompson,off,RISE,3/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Fahrenheit 132,on,RISE,4/21,"328 William Street, Fredericksburg, VA 22401",38.3028665,-77.4612967
Libbie Market,off,RISE,4/21,"400 Libbie Ave., Richmond, VA 23226",37.5746309,-77.5183971
Balducci's - Alexandria,off,RISE,5/21,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Field & Main,on/off,RISE,07/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
